1:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS |==> mode < FIXED_NUM_ROWS
341:ROR:!=(int,int):>(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):315:old_nrows != nrows |==> old_nrows > nrows
342:ROR:!=(int,int):TRUE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):315:old_nrows != nrows |==> true
343:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):316:row_heights = new int[nrows] |==> <NO-OP>
344:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):318:old_ncols != ncols |==> old_ncols < ncols
345:ROR:!=(int,int):>(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):318:old_ncols != ncols |==> old_ncols > ncols
346:ROR:!=(int,int):TRUE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):318:old_ncols != ncols |==> true
347:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@update(java.awt.Container):319:col_widths = new int[ncols] |==> <NO-OP>
348:LVR:NEG:0:org.gjt.sp.jedit.gui.VariableGridLayout:328:-1 |==> 0
349:LVR:NEG:POS:org.gjt.sp.jedit.gui.VariableGridLayout:328:-1 |==> 1
350:LVR:NEG:0:org.gjt.sp.jedit.gui.VariableGridLayout:329:-1 |==> 0
351:LVR:NEG:POS:org.gjt.sp.jedit.gui.VariableGridLayout:329:-1 |==> 1
